name;given name;family name;sex or gender;date of birth;electoral district;parliamentary term;parliamentary group;represents
Valdis Dombrovskis;Valdis;Dombrovskis;male;1971-08-05;Latvia;6;European People's Party group;Unity
Andrus Ansip;Andrus;Ansip;male;1956-10-01;Estonia;8;Group of the Alliance of Liberals and Democrats for Europe;Estonian Reform Party
Andrus Ansip;Andrus;Ansip;male;1956-10-01;Estonia;9;Renew Europe;Estonian Reform Party
Helle Thorning-Schmidt;Helle;Thorning-Schmidt;female;1966-12-14;Denmark;5;Progressive Alliance of Socialists and Democrats;Social Democrats
Andrius Kubilius;Andrius;Kubilius;male;1956-12-08;Lithuania;9;European People's Party group;Homeland Union – Lithuanian Christian Democrats
Andrius Kubilius;Andrius;Kubilius;male;1956-12-08;Lithuania;10;European People's Party group;Homeland Union – Lithuanian Christian Democrats
Antonis Samaras;Antonis;Samaras;male;1951-05-23;Greece;6;European People's Party group;New Democracy
Radosław Sikorski;Tomasz;Sikorski;male;1963-02-23;Poland;9;European People's Party group;Civic Platform
Dimitris Droutsas;Dimitris;;male;1968-08-05;Greece;7;Progressive Alliance of Socialists and Democrats;Panhellenic Socialist Movement
José García-Margallo y Marfil;Manuel;García-Margallo;male;1944-08-13;Spain;7;European People's Party group;People's Party
José García-Margallo y Marfil;Manuel;García-Margallo;male;1944-08-13;Spain;6;European People's Party group;People's Party
José García-Margallo y Marfil;Manuel;García-Margallo;male;1944-08-13;Spain;5;European People's Party group;People's Party
José García-Margallo y Marfil;Manuel;García-Margallo;male;1944-08-13;Spain;4;European People's Party group;People's Party
José García-Margallo y Marfil;Manuel;García-Margallo;male;1944-08-13;Spain;9;European People's Party group;People's Party
Urmas Paet;Urmas;Paet;male;1974-04-20;Estonia;8;Group of the Alliance of Liberals and Democrats for Europe;Estonian Reform Party
Urmas Paet;Urmas;Paet;male;1974-04-20;Estonia;9;Renew Europe;Estonian Reform Party
Urmas Paet;Urmas;Paet;male;1974-04-20;Estonia;10;Renew Europe;Estonian Reform Party
Nikolay Mladenov;Nikolai;Mladenov;male;1972-05-05;Bulgaria;6;European People's Party group;Citizens for European Development of Bulgaria
Villy Søvndal;Villy;Søvndal;male;1952-04-04;Denmark;10;The Greens–European Free Alliance;Green Left
Michèle Alliot-Marie;Michèle;Marie;female;1946-09-10;South-West France;8;European People's Party group;The Republicans
Michèle Alliot-Marie;Michèle;Marie;female;1946-09-10;France;3;European Democratic Alliance;The Republicans
Paulo Portas;Paulo;Portas;male;1962-09-12;Portugal;5;Union for Europe of the Nations;CDS - Partido Popular
Titus Corlățean;Titus;Corlățean;male;1968-01-11;Romania;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Egon Klepsch;Egon;Klepsch;male;1930-01-30;list of results of European elections in Germany;3;European People's Party group;Christian Democratic Union
Egon Klepsch;Egon;Klepsch;male;1930-01-30;list of results of European elections in Germany;2;European People's Party group;Christian Democratic Union
Egon Klepsch;Egon;Klepsch;male;1930-01-30;list of results of European elections in Germany;1;European People's Party group;Christian Democratic Union
Martin Bangemann;Andreas;Bangemann;male;1934-11-15;list of results of European elections in Germany;1;European Liberal Democrat and Reform Party Group;Free Democratic Party
David McAllister;David;McAllister;male;1971-01-12;list of results of European elections in Germany;8;European People's Party group;Christian Democratic Union
David McAllister;David;McAllister;male;1971-01-12;list of results of European elections in Germany;9;European People's Party group;Christian Democratic Union
David McAllister;David;McAllister;male;1971-01-12;Germany;10;European People's Party group;Christian Democratic Union
Rebecca Harms;Rebecca;Harms;female;1956-12-07;Germany;8;The Greens–European Free Alliance;Alliance '90/The Greens
Rebecca Harms;Rebecca;Harms;female;1956-12-07;Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Rebecca Harms;Rebecca;Harms;female;1956-12-07;Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Klaus Hänsch;Klaus;Hänsch;male;1938-12-15;list of results of European elections in Germany;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Klaus Hänsch;Klaus;Hänsch;male;1938-12-15;list of results of European elections in Germany;5;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Klaus Hänsch;Klaus;Hänsch;male;1938-12-15;list of results of European elections in Germany;4;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Klaus Hänsch;Klaus;Hänsch;male;1938-12-15;list of results of European elections in Germany;3;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Klaus Hänsch;Klaus;Hänsch;male;1938-12-15;list of results of European elections in Germany;2;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Klaus Hänsch;Klaus;Hänsch;male;1938-12-15;list of results of European elections in Germany;1;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Silvana Koch-Mehrin;Silvana;;female;1970-11-17;list of results of European elections in Germany;7;Group of the Alliance of Liberals and Democrats for Europe;Free Democratic Party
Silvana Koch-Mehrin;Silvana;;female;1970-11-17;list of results of European elections in Germany;6;Group of the Alliance of Liberals and Democrats for Europe;Free Democratic Party
Jean-Pierre Raffarin;Jean-Pierre;Raffarin;male;1948-08-03;France;4;European People's Party group;French Republican Party
Jean-Pierre Raffarin;Jean-Pierre;Raffarin;male;1948-08-03;France;3;European People's Party group;French Republican Party
Thierry Mariani;Thierry;Mariani;male;1958-08-08;France;9;Identity and Democracy;National Rally
Thierry Mariani;Thierry;Mariani;male;1958-08-08;France;10;Patriots for Europe;National Rally
Jo Leinen;Josef;Leinen;male;1948-04-06;list of results of European elections in Germany;8;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Jo Leinen;Josef;Leinen;male;1948-04-06;list of results of European elections in Germany;7;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Jo Leinen;Josef;Leinen;male;1948-04-06;list of results of European elections in Germany;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Jo Leinen;Josef;Leinen;male;1948-04-06;list of results of European elections in Germany;5;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
João Cravinho;João;Cravinho;male;1936-09-19;Portugal;3;Progressive Alliance of Socialists and Democrats;Socialist Party
Bernd Lange;Bernd;Lange;male;1955-11-14;list of results of European elections in Germany;8;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Bernd Lange;Bernd;Lange;male;1955-11-14;list of results of European elections in Germany;7;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Bernd Lange;Bernd;Lange;male;1955-11-14;list of results of European elections in Germany;5;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Bernd Lange;Bernd;Lange;male;1955-11-14;list of results of European elections in Germany;4;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Bernd Lange;Bernd;Lange;male;1955-11-14;list of results of European elections in Germany;9;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Bernd Lange;Bernd;Lange;male;1955-11-14;Germany;10;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Kai-Uwe von Hassel;Kai-Uwe;von Hassel;male;1913-04-21;list of results of European elections in Germany;1;European People's Party group;Christian Democratic Union
Frank Schwalba-Hoth;Frank;;male;1952-12-12;list of results of European elections in Germany;2;Rainbow Group;Alliance '90/The Greens
Carl Wolmar Jakob von Uexküll;Jakob;Uexküll;male;1944-08-19;list of results of European elections in Germany;2;Rainbow Group;Alliance '90/The Greens
Heide Rühle;Heide;Rühle;female;1948-11-05;list of results of European elections in Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Heide Rühle;Heide;Rühle;female;1948-11-05;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Heide Rühle;Heide;Rühle;female;1948-11-05;list of results of European elections in Germany;5;The Greens–European Free Alliance;Alliance '90/The Greens
Helga Trüpel;Helga;;female;1958-07-21;list of results of European elections in Germany;8;The Greens–European Free Alliance;Alliance '90/The Greens
Helga Trüpel;Helga;;female;1958-07-21;list of results of European elections in Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Helga Trüpel;Helga;;female;1958-07-21;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Hiltrud Breyer;Hiltrud;Breyer;female;1957-08-22;list of results of European elections in Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Hiltrud Breyer;Hiltrud;Breyer;female;1957-08-22;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Hiltrud Breyer;Hiltrud;Breyer;female;1957-08-22;list of results of European elections in Germany;5;The Greens–European Free Alliance;Alliance '90/The Greens
Hiltrud Breyer;Hiltrud;Breyer;female;1957-08-22;list of results of European elections in Germany;4;The Green Group in the European Parliament;Alliance '90/The Greens
Hiltrud Breyer;Hiltrud;Breyer;female;1957-08-22;list of results of European elections in Germany;3;The Green Group in the European Parliament;Alliance '90/The Greens
Reimer Böge;Reimer;Böge;male;1951-12-18;list of results of European elections in Germany;8;European People's Party group;Christian Democratic Union
Reimer Böge;Reimer;Böge;male;1951-12-18;list of results of European elections in Germany;7;European People's Party group;Christian Democratic Union
Reimer Böge;Reimer;Böge;male;1951-12-18;list of results of European elections in Germany;6;European People's Party group;Christian Democratic Union
Reimer Böge;Reimer;Böge;male;1951-12-18;list of results of European elections in Germany;5;European People's Party group;Christian Democratic Union
Reimer Böge;Reimer;Böge;male;1951-12-18;list of results of European elections in Germany;4;European People's Party group;Christian Democratic Union
Reimer Böge;Reimer;Böge;male;1951-12-18;list of results of European elections in Germany;3;European People's Party group;Christian Democratic Union
Giampiero Boniperti;Giampiero;Boniperti;male;1928-07-04;Italy;4;European People's Party group;Forza Italia
Bernd Posselt;Bernd;Posselt;male;1956-06-04;list of results of European elections in Germany;7;European People's Party group;Christian Social Union of Bavaria
Bernd Posselt;Bernd;Posselt;male;1956-06-04;list of results of European elections in Germany;6;European People's Party group;Christian Social Union of Bavaria
Bernd Posselt;Bernd;Posselt;male;1956-06-04;list of results of European elections in Germany;5;European People's Party group;Christian Social Union of Bavaria
Bernd Posselt;Bernd;Posselt;male;1956-06-04;list of results of European elections in Germany;4;European People's Party group;Christian Social Union of Bavaria
Friedrich-Wilhelm Graefe zu Baringdorf;Friedrich;;male;1942-11-29;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Friedrich-Wilhelm Graefe zu Baringdorf;Friedrich;;male;1942-11-29;list of results of European elections in Germany;5;The Greens–European Free Alliance;Alliance '90/The Greens
Friedrich-Wilhelm Graefe zu Baringdorf;Friedrich;;male;1942-11-29;list of results of European elections in Germany;4;The Green Group in the European Parliament;Alliance '90/The Greens
Friedrich-Wilhelm Graefe zu Baringdorf;Friedrich;;male;1942-11-29;list of results of European elections in Germany;3;The Green Group in the European Parliament;Alliance '90/The Greens
Friedrich-Wilhelm Graefe zu Baringdorf;Friedrich;;male;1942-11-29;list of results of European elections in Germany;2;The Greens–European Free Alliance;Alliance '90/The Greens
Elisabeth Schroedter;Elisabeth;Schroedter;female;1959-03-11;list of results of European elections in Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Elisabeth Schroedter;Elisabeth;Schroedter;female;1959-03-11;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Elisabeth Schroedter;Elisabeth;Schroedter;female;1959-03-11;list of results of European elections in Germany;5;The Greens–European Free Alliance;Alliance '90/The Greens
Elisabeth Schroedter;Elisabeth;Schroedter;female;1959-03-11;list of results of European elections in Germany;4;The Green Group in the European Parliament;Alliance '90/The Greens
Michael Cramer;Michael;Cramer;male;1949-06-16;list of results of European elections in Germany;8;The Greens–European Free Alliance;Alliance '90/The Greens
Michael Cramer;Michael;Cramer;male;1949-06-16;list of results of European elections in Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Michael Cramer;Michael;Cramer;male;1949-06-16;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Alexander Nuno Alvaro;Alexander;Alvaro;male;1975-05-26;list of results of European elections in Germany;7;Group of the Alliance of Liberals and Democrats for Europe;Free Democratic Party
Alexander Nuno Alvaro;Alexander;Alvaro;male;1975-05-26;list of results of European elections in Germany;6;Group of the Alliance of Liberals and Democrats for Europe;Free Democratic Party
Milan Horáček;Milan;Horáček;male;1946-10-30;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Lothar Bisky;Lothar;Bisky;male;1941-08-17;list of results of European elections in Germany;7;European United Left–Nordic Green Left;The Left
Ska Keller;Franziska;Keller;female;1981-11-22;Germany;8;The Greens–European Free Alliance;Alliance '90/The Greens
Ska Keller;Franziska;Keller;female;1981-11-22;list of results of European elections in Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Ska Keller;Franziska;Keller;female;1981-11-22;Germany;9;The Greens–European Free Alliance;Alliance '90/The Greens
Sibylle Berg;Sibylle;Berg;female;1962-06-02;Germany;10;Non-Inscrits;Die PARTEI
Matthias Groote;Matthias;Groote;male;1973-10-21;list of results of European elections in Germany;8;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Matthias Groote;Matthias;Groote;male;1973-10-21;list of results of European elections in Germany;7;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Matthias Groote;Matthias;Groote;male;1973-10-21;list of results of European elections in Germany;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
